,date,open,high,low,close,volume
234,2020-04-16,143.39,151.89,141.34,149.04,665786.0
235,2020-04-17,154.54,154.99,149.53,150.78,415624.0
236,2020-04-20,146.54,153.12,142.44,149.27,493994.0
237,2020-04-21,146.12,150.66,134.76,137.35,656034.0
238,2020-04-22,140.65,146.80,137.74,146.42,460274.0
239,2020-04-23,145.50,146.80,140.62,141.12,441842.0
240,2020-04-24,142.16,146.15,139.70,145.03,445773.0
241,2020-04-27,147.47,159.90,147.00,159.75,641325.0
242,2020-04-28,159.00,161.00,151.34,153.82,498525.0
243,2020-04-29,158.04,160.64,156.63,160.10,414606.0
244,2020-04-30,171.04,173.96,152.70,156.38,866174.0
245,2020-05-01,151.00,154.55,136.61,140.26,1067511.0
246,2020-05-04,140.20,152.40,139.60,152.24,615561.0
247,2020-05-05,158.00,159.79,152.43,153.64,567161.0
248,2020-05-06,155.29,157.96,152.22,156.51,367091.0
249,2020-05-07,155.46,159.28,154.47,156.01,385439.0
250,2020-05-08,158.75,164.80,157.40,163.88,518413.0
251,2020-05-11,158.21,164.80,157.00,162.26,545443.0
252,2020-05-12,165.40,168.66,161.60,161.88,519451.0
253,2020-05-13,164.07,165.20,152.66,158.19,640019.0
254,2020-05-14,155.89,160.67,152.80,160.66,430435.0
255,2020-05-15,158.07,161.01,157.31,159.84,345761.0
256,2020-05-18,165.60,166.95,160.77,162.73,376096.0
257,2020-05-19,163.04,164.41,161.21,161.60,320964.0
258,2020-05-20,164.00,165.20,162.36,163.11,228323.0
259,2020-05-21,163.20,166.50,159.20,165.52,404968.0
260,2020-05-22,164.70,166.35,162.40,163.38,335389.0
261,2020-05-26,166.76,166.92,163.14,163.77,247210.0
262,2020-05-27,164.17,165.54,157.00,164.04,374649.0
263,2020-05-28,162.73,164.95,160.34,161.16,237241.0
264,2020-05-29,161.75,167.00,160.84,167.00,366630.0
265,2020-06-01,171.45,179.80,170.82,179.62,455653.0
266,2020-06-02,178.94,181.73,174.20,176.31,427734.0
267,2020-06-03,177.62,179.59,176.02,176.59,258891.0
268,2020-06-04,177.98,179.15,171.69,172.88,289988.0
269,2020-06-05,175.60,177.30,173.24,177.13,247827.0
270,2020-06-08,183.60,190.00,181.83,189.99,445931.0
271,2020-06-09,188.04,190.89,184.79,188.13,370757.0
272,2020-06-10,198.38,205.49,196.50,205.01,540222.0
273,2020-06-11,197.95,203.79,194.40,194.57,491478.0
274,2020-06-12,195.90,197.60,182.52,187.05,518272.0
275,2020-06-15,183.56,199.77,181.70,198.18,493472.0
276,2020-06-16,202.37,202.57,192.48,196.43,429181.0
277,2020-06-17,197.54,201.00,196.51,198.36,314443.0
278,2020-06-18,200.46,203.84,198.90,200.79,310592.0
279,2020-06-19,202.43,203.20,198.27,200.18,253684.0
280,2020-06-22,199.96,201.77,198.01,198.87,205375.0
281,2020-06-23,199.77,202.40,198.80,200.35,202601.0
282,2020-06-24,198.95,200.18,190.63,192.17,347739.0
283,2020-06-25,190.85,197.20,187.43,197.20,292165.0
284,2020-06-26,198.96,199.00,190.98,191.95,250771.0
285,2020-06-29,193.80,202.00,189.71,201.87,274339.0
286,2020-06-30,201.15,217.54,200.74,215.96,520347.0
287,2020-07-01,216.60,227.07,216.10,223.93,393679.0
288,2020-07-02,244.18,245.60,237.12,241.73,468100.0
289,2020-07-06,255.07,275.56,253.21,274.32,541275.0
290,2020-07-07,281.00,285.90,267.34,277.97,534770.0
291,2020-07-08,281.00,283.45,262.27,273.17,441382.0
292,2020-07-09,279.40,281.71,270.26,278.86,317196.0
293,2020-07-10,279.20,309.79,275.20,308.93,636284.0
294,2020-07-13,331.80,359.00,294.22,299.41,935073.0
295,2020-07-14,311.08,318.00,286.20,303.36,596347.0
296,2020-07-15,308.48,310.00,291.40,309.20,406254.0
297,2020-07-16,295.80,306.34,293.20,300.13,393495.0
298,2020-07-17,302.57,307.50,298.00,300.17,251834.0
299,2020-07-20,303.92,330.00,297.60,328.60,440060.0
300,2020-07-21,327.88,335.00,311.60,313.67,415448.0
301,2020-07-22,319.80,325.29,312.40,318.46,292262.0
302,2020-07-23,335.72,337.80,296.15,302.61,597374.0
303,2020-07-24,283.20,293.00,273.31,283.40,506117.0
304,2020-07-27,287.00,309.59,282.60,307.92,398502.0
305,2020-07-28,300.80,312.94,294.88,295.30,441903.0
306,2020-07-29,300.20,306.96,297.40,299.82,262255.0
307,2020-07-30,297.21,302.65,294.20,297.50,210857.0
308,2020-07-31,303.00,303.41,284.20,286.15,330864.0
309,2020-08-03,290.13,301.96,288.88,297.00,236135.0
310,2020-08-04,299.00,305.48,292.40,297.40,235043.0
311,2020-08-05,298.60,299.97,293.66,297.01,130325.0
312,2020-08-06,298.14,303.46,295.45,297.92,158256.0
313,2020-08-07,300.00,300.00,283.00,290.54,231881.0
314,2020-08-10,289.60,291.50,277.17,283.71,190880.0
315,2020-08-11,279.18,284.00,273.00,274.88,189106.0
316,2020-08-12,294.00,317.00,287.00,310.95,555008.0
317,2020-08-13,322.56,330.00,313.45,324.20,524339.0
318,2020-08-14,332.62,333.76,325.33,330.14,314808.0
319,2020-08-17,335.40,369.17,334.57,367.13,495814.0
320,2020-08-18,379.80,384.78,369.02,377.42,382135.0
321,2020-08-19,372.98,382.20,368.24,375.70,300163.0
322,2020-08-20,372.02,404.40,371.41,400.36,518109.0
323,2020-08-21,408.73,419.10,405.01,409.99,532210.0
324,2020-08-24,425.31,425.80,385.60,402.84,483746.0
325,2020-08-25,395.00,405.59,393.60,404.67,252676.0
326,2020-08-26,412.00,433.20,410.73,430.64,333900.0
327,2020-08-27,436.09,459.12,428.50,447.75,582446.0
328,2020-08-28,459.02,463.70,437.51,442.68,464287.0
329,2020-08-31,444.55,500.14,440.11,498.32,771957.0
330,2020-09-01,502.14,502.49,470.51,475.05,526192.0
331,2020-09-02,478.99,479.04,405.12,447.37,606560.0
332,2020-09-03,407.13,431.48,402.00,407.00,553786.0
333,2020-09-04,402.93,428.00,372.02,418.32,709290.0
334,2020-09-08,355.80,368.74,329.88,330.21,735420.0
335,2020-09-09,357.00,369.00,341.51,366.28,515225.0
336,2020-09-10,386.40,398.99,360.56,371.34,595792.0
337,2020-09-11,381.73,382.50,360.50,372.72,437021.0
338,2020-09-14,380.91,420.00,373.30,419.62,576322.0
339,2020-09-15,436.50,461.94,430.70,449.76,669310.0
